GenderMainDriver,MaritalMainDriver,Claim
Female,Married,182.06
Male,Married,120.13
Male,Married,354.94
Male,Married,283.03
Female,Partnership,441.02
Female,Single,922.2
Female,Married,110.55
Male,Married,442.23
Male,Married,50.81
Female,Single,50
Male,Married,9899.951933
Male,Married,81.65
Male,Married,50
Male,Single,449.05
Female,Single,118.51
Male,Married,1694.84
Male,Married,192.25
Female,Married,50
Male,Married,1359.13
Male,Married,50
Male,Married,50
Male,Single,50
Male,Single,234.34
Female,Married,389.51
Female,Married,1901.46
Male,Single,3291.99
Female,Married,3230.37
Female,Married,50.22
Male,Single,50
Male,Married,50
Male,Married,1136.96
Male,Married,1130.38
Male,Married,1389.64
Male,Married,1690.42
Female,Married,546.05
Male,Single,5611.61
Male,Single,1254.78
Male,Married,1568.73
Male,Married,1207.07
Female,Married,454.9
Male,Married,408.34
Male,Married,52.02
Male,Single,1296.22
Male,Other,227.02
Male,Married,11844.13
Male,Single,376.06
Male,Married,685.29
Male,Married,1131.76
Male,Married,553.77
Male,Married,577.29
Male,Single,1888.77
Male,Married,1033.58
Male,Single,934.51
Female,Married,509.94
Male,Married,824.75
Male,Married,1708.35
Male,Married,605.05
Male,Single,352.96
Female,Married,2042.4
Female,Married,484.91
Male,Married,422.68
Female,Single,1412.78
Female,Single,570.79
Male,Married,869.2
Female,Married,333.86
Male,Single,50.04
Female,Single,574.69
Female,Married,254.1
Female,Married,50
Female,Married,712.59
Male,Single,617.37
Male,Single,676.88
Female,Married,622.34
Female,Married,546.69
Male,Married,651.67
Male,Married,703.8
Male,Single,390.76
Female,Married,287.24
Male,Married,1120.31
Female,Single,50.04
Female,Married,641.16
Female,Married,1045.25
Male,Married,360.51
Female,Single,888.91
Male,Single,126.56
Female,Single,323.12
Male,Married,931.52
Male,Married,729.87
Female,Other,342.99
Male,Married,720.77
Female,Single,472.69
Male,Married,300.79
Female,Married,748.68
Female,Married,579.08
Female,Married,1176.64
Male,Married,140.48
Female,Married,258.63
Female,Married,1057.05
Female,Married,631.57
Female,Married,141.44
Female,Married,1175.84
Female,Married,719.45
Male,Married,733.45
Female,Married,451.83
Male,Single,633.32
Male,Single,1236.57
Female,Other,551.9
Female,Married,1617.29
Male,Married,715.59
Female,Single,696.01
Female,Married,669.25
Female,Married,1963.45
Male,Other,2805.11
Male,Married,1219.37
Male,Married,510.79
Male,Single,789.33
Male,Single,365.61
Male,Married,925.94
Male,Single,1011.87
Female,Married,50
Female,Single,348.52
Female,Married,391.08
Male,Single,1053.63
Female,Married,61.46
Male,Married,892.56
Male,Married,1260.69
Male,Married,152.07
Male,Married,115.77
Female,Married,510.69
Male,Married,952.93
Male,Married,858.95
Female,Married,50
Male,Married,819.81
Male,Married,623.94
Female,Single,494.94
Male,Married,50.49
Male,Single,279.92
Male,Married,828.21
Female,Married,50.01
Male,Married,711.99
Female,Married,746.8
Male,Married,329.73
Male,Married,470.63
Female,Single,420.47
Male,Married,189.4
Female,Married,541.61
Female,Single,896.02
Female,Married,353.39
Female,Married,898.56
Female,Married,493.47
Female,Single,316.52
Male,Married,1300.24
Male,Single,557.81
Female,Married,918.66
Female,Married,111.23
Male,Other,2288.16
Male,Married,729.03
Male,Married,159.86
Female,Married,404.67
Male,Single,623.85
Female,Married,825.81
Male,Married,503.93
Male,Married,1468.77
Male,Married,599.78
Male,Single,1118.19
Male,Single,1315.33
Female,Married,566.35
Female,Single,1207.43
Male,Married,461.22
Female,Single,382.55
Male,Married,595.36
Male,Married,825.78
Male,Other,437.41
Male,Married,1430.49
Male,Married,543.45
Female,Married,791.89
Female,Married,772.07
Male,Married,266.83
Female,Single,81.48
Female,Married,157.2
Male,Single,845.23
Female,Married,542.55
Male,Married,493.13
Female,Single,802.32
Male,Married,729.02
Male,Married,565.15
Male,Married,1132.27
Male,Married,541.39
Male,Married,680.32
Male,Married,939.1
Male,Single,683.76
Male,Married,992.22
Male,Other,53.16
Male,Married,1913.8
Female,Single,521.58
Female,Married,878.5
Male,Single,584.72
Male,Married,510.65
Male,Married,540.9
Female,Single,2797.34
Male,Other,932.64
Male,Single,1060.86
Male,Single,859.95
Male,Married,1851.34
Female,Married,598.08
Female,Married,163.16
Female,Single,315.46
Male,Married,813.61
Male,Other,1463.5
Male,Single,740.8
Male,Married,779.58
Male,Single,279.87
Female,Single,660.72
Male,Married,1089.38
Male,Married,462.76
Female,Married,554.83
Male,Married,66.23
Male,Married,1048.91
Male,Married,55.98
Female,Married,428.09
Male,Single,1545.95
Female,Married,1292.95
Male,Married,1318.93
Female,Single,721.6
Male,Married,1503.37
Male,Married,984
Female,Married,593.47
Female,Married,528.58
Female,Married,305.11
Male,Single,657.94
Female,Married,748.2
Female,Married,437.45
Female,Married,651.83
Male,Married,579.23
Female,Married,84.32
Female,Married,947.05
Male,Single,1311.21
Female,Married,725.63
Female,Married,869.67
Female,Married,582.7
Male,Married,425.41
Female,Married,413.81
Female,Married,294.87
Male,Married,819.11
Male,Married,2488.35
Female,Married,50
Male,Married,7139.02
Female,Married,620.04
Female,Married,1096.01
Male,Married,1506.35
Female,Single,343.02
Female,Married,945.35
Female,Married,1211.74
Male,Married,4205.73
Male,Married,2594.46
Female,Single,272.18
Female,Married,467.81
Female,Married,281.55
Male,Married,1183.41
Male,Married,705.03
Male,Single,2179.89
Female,Single,422.9
Male,Married,521.34
Male,Married,1721.14
Male,Married,430.32
Male,Married,1402.11
Male,Married,871.74
Female,Single,403.47
Male,Married,924.71
Male,Married,348.02
Male,Married,55.21
Male,Married,695.18
Male,Single,254.63
Male,Married,1290.74
Male,Married,1106.39
Male,Married,1633.67
Female,Single,118.82
Male,Single,226.59
Female,Single,2910.47
Male,Single,1243.7
Male,Married,1305.71
Male,Single,163.73
Male,Married,1732.85
Male,Single,1862.98
Male,Single,50
Male,Married,50
Male,Single,6491.17
Male,Single,442.64
Male,Other,2273.97
Male,Single,1434.75
Female,Married,1915.74
Male,Single,50
Female,Single,971.27
Male,Married,752.09
Male,Married,474.26
Female,Married,347.34
Female,Single,815.56
Male,Married,550.54
Female,Single,63.01
Female,Married,1309.94
Female,Married,223.72
Male,Married,766.17
Male,Single,392.19
Male,Single,1074.51
Female,Married,338.01
Female,Married,663.8
Female,Married,356.97
Male,Married,733.58
Male,Married,476.71
Male,Married,603.18
Female,Married,528.47
Male,Single,1087.39
Female,Single,50.01
Male,Married,333.61
Male,Other,749.43
Female,Single,50
Female,Married,514.48
Male,Single,608.24
Male,Single,1918.84
Male,Married,50.34
Male,Married,705.56
Female,Single,1478.38
Male,Married,6405.7
Male,Married,1708.4
Female,Single,847.08
Female,Single,641.4
Male,Single,1484.01
Male,Single,1627.26
Female,Married,543.75
Male,Married,825.87
Female,Married,3458.49
Male,Married,843.94
Female,Married,466.66
Female,Married,116
Male,Single,3169.07
Male,Married,495.13
Male,Married,199.99
Female,Married,815.84
Male,Single,934.68
Male,Married,1014.88
Male,Single,525.86
Male,Married,1179.32
Male,Married,756.42
Female,Married,645.21
Male,Married,1824.18
Male,Other,414.44
Male,Married,1152.59
Male,Married,231.46
Male,Other,2266.31
Male,Married,1604.26
Male,Married,807.45
Male,Married,1383.02
Male,Married,1346.9
Male,Single,416.09
Female,Married,660.75
Female,Married,484.23
Male,Single,574.31
Male,Married,694.59
Female,Single,67.96
Male,Married,70.34
Male,Single,150.1
Male,Married,415.78
Male,Married,470.76
Female,Single,1219.65
Female,Married,124.46
Male,Other,748.23
Female,Single,425.58
Female,Married,68.21
Male,Married,476.48
Female,Single,628.08
Male,Single,359.09
Female,Other,361.25
Female,Married,50
Male,Other,689.72
Male,Married,356.05
Male,Married,1343.94
Male,Married,923.37
Male,Other,936.19
Male,Married,243.28
Male,Married,329.7
Female,Married,541.26
Male,Single,510.3
Male,Single,1983.3
Female,Married,714.11
Male,Single,503.81
Male,Single,365.77
Female,Married,129.52
Female,Married,587.3
Male,Married,674.28
Male,Married,1233.04
Male,Married,684.06
Female,Married,600.1
Female,Married,849.13
Female,Other,276.95
Male,Married,543.58
Male,Single,1804.51
Female,Married,988.82
Male,Single,911.83
Male,Married,839.49
Male,Married,356.57
Female,Married,928.26
Female,Married,1010.43
Male,Single,1371.22
Male,Married,1613.15
Female,Single,605.37
Male,Married,749.92
Male,Married,516.74
Female,Other,1400.12
Male,Single,975.94
Male,Married,958.03
Male,Single,740.15
Female,Married,711.62
Male,Single,489.5
Female,Married,227.53
Female,Married,696.13
Male,Single,872.95
Male,Married,564.57
Female,Married,119
Male,Other,386.66
Female,Married,492.62
Female,Married,1078.31
Male,Married,754.72
Female,Single,246.8
Female,Married,474.42
Female,Married,607.65
Male,Married,906.25
Male,Married,1221.45
Male,Single,582.91
Female,Married,595.76
Female,Single,320.09
Female,Other,546.55
Female,Married,513.63
Male,Married,513.69
Female,Married,569.65
Female,Single,1229.71
Male,Married,282.5
Female,Married,1398.26
Male,Single,750.46
Male,Married,565.74
Female,Married,50
Male,Married,1773.99
Female,Married,310.53
Male,Married,444.97
Female,Married,793.91
Male,Single,831.3
Male,Single,1686.95
Female,Single,386.83
Male,Married,623.62
Female,Other,383.08
Female,Married,1472.49
Male,Married,1082.93
Female,Single,115.44
Male,Single,1240.05
Male,Married,1548.7
Male,Married,655.92
Female,Married,649.8
Female,Married,322.61
Female,Married,108.41
Female,Single,1849.96
Male,Married,409.93
Male,Single,960.78
Female,Other,637.45
Female,Married,753.38
Male,Married,410.22
Female,Married,50
Male,Married,666.7
Female,Married,1129.32
Male,Married,506.03
Female,Married,1104.96
Female,Single,1660.47
Female,Married,633.64
Female,Married,1139.9
Male,Married,836.13
Female,Single,1074.53
Male,Married,900.64
Female,Other,998.15
Female,Single,455.94
Female,Married,691.56
Male,Married,649.78
Male,Married,394.72
Male,Single,532.6
Male,Single,1046.6
Male,Single,482.86
Male,Married,836.11
Female,Married,555.64
Male,Married,706.97
Female,Married,2244.57
Male,Married,668.25
Male,Married,643.63
Male,Married,995.03
Male,Single,160.85
Female,Married,1007.76
Male,Single,314.61
Female,Married,319.88
Male,Married,935.26
Male,Married,2346.56
Female,Married,955.87
Female,Married,1066.88
Male,Married,1217.61
Male,Married,882.02
Male,Married,666.32
Male,Married,1283.94
Female,Single,564.7
Female,Single,271.25
Male,Married,661.84
Male,Other,98.8
Male,Single,1247.83
Male,Married,265.91
Female,Married,326.26
Male,Married,839.6
Male,Single,493.12
Male,Single,283.49
Male,Single,750.17
Female,Married,457.45
Male,Married,681.4
Female,Married,868.23
Female,Married,637.26
Female,Single,552.94
Female,Married,551.51
Male,Single,594.97
Male,Married,889.21
Female,Married,447.29
Male,Other,921.32
Male,Married,321.93
Male,Married,325.72
Male,Married,449.52
Female,Married,647.96
Female,Single,452.86
Female,Married,703.51
Male,Single,869.94
Male,Single,1019.69
Male,Married,826.19
Male,Single,521.59
Male,Single,277.02
Female,Married,203.33
Female,Married,276.49
Female,Single,811.44
Female,Married,884.59
Female,Single,69.22
Female,Married,687.37
Female,Single,191.29
Male,Married,355.57
Male,Married,580.35
Female,Single,299.77
Female,Married,717.59
Male,Married,511.94
Male,Married,395.26
Male,Married,799.72
Male,Married,886.07
Male,Married,1130.18
Male,Married,629.6
Male,Married,322
Male,Married,1181.6
Female,Married,615.61
Male,Married,862.02
Male,Married,887.55
Male,Single,624.15
Female,Single,101.82
Female,Married,1196.27
Male,Married,651.27
Male,Single,690
Male,Married,384.72
Male,Married,1165.23
Male,Married,1162.44
Male,Partnership,821.68
Female,Single,731.33
Female,Single,176.77
Female,Married,193.73
Male,Single,1685.57
Female,Married,847.83
Male,Married,437.77
Female,Married,741.2
Female,Married,330.14
Male,Single,2116.67
Female,Married,2781.53
Female,Single,1483.18
Male,Married,1046.54
Female,Married,1494.97
Male,Single,1641.01
Female,Married,1490.51
Male,Single,2165.97
Male,Married,1305.54
Male,Married,791.88
Male,Married,568.52
Male,Married,582.8
Female,Married,1885.69
Male,Single,874.43
Male,Single,652.51
Male,Married,1420.13
Male,Single,1371.06
Male,Married,1793.97
Male,Single,1740.15
Female,Single,3485.84
Male,Single,615.76
Female,Married,1020.39
Male,Married,2320.32
Male,Other,1125.06
Female,Married,680.95
Male,Married,971.5
Male,Single,1652.81
Male,Single,929.58
Male,Married,285.07
Male,Married,1035.9
Male,Married,211.89
Male,Married,679.29
Female,Single,1343.09
Female,Married,435.92
Female,Single,1106.31
Male,Married,694.12
Male,Married,865.88
Male,Single,622.38
Male,Married,993.56
Female,Married,603.34
Male,Married,1296.62
Female,Married,1838.14
Male,Married,1589.37
Female,Married,322.85
Male,Married,1051.94
Male,Married,454.04
Female,Married,401.3
Male,Married,1600.99
Female,Married,1043.17
Male,Single,1651.74
Female,Single,288.73
Female,Married,485.13
Female,Married,278.48
Male,Married,50
Male,Single,307.43
Female,Married,66.87
Male,Married,221.66
Male,Married,163.36
Female,Married,4265.4
Female,Married,50
Female,Married,719.55
Female,Married,342.56
Male,Married,276.26
Male,Married,573.19
Male,Married,816.86
Male,Married,654.47
Female,Married,1172.73
Male,Married,50
Female,Married,100
Male,Single,169.82
Male,Married,939.08
Male,Married,359.67
Male,Single,162.98
Female,Married,5125.03
Female,Married,682.65
Female,Married,2100.78
Male,Married,1369.04
Male,Single,50
Male,Single,50
Female,Married,1313.55
Male,Married,1488.58
Male,Single,3288.97
Female,Married,871.19
Male,Married,2890.14
Female,Married,99.37
Male,Married,587.89
Male,Married,1171.6
Male,Single,397.34
Male,Married,8052.74
Male,Married,756.79
Male,Married,1131.19
Male,Married,1701.98
Male,Single,2054.81
Female,Married,7851.55
Male,Single,50
Male,Single,50
Male,Married,564.83
Male,Single,1213.21
Male,Married,2160.82
Female,Single,74.38
Male,Married,845.91
Male,Married,426.26
Male,Married,647.97
Female,Married,137.92
Male,Married,709.59
Male,Married,592.01
Female,Married,1058.57
Male,Married,1698.93
Male,Married,587.72
Female,Married,494.6
Male,Married,813.79
Male,Married,1067.45
Male,Married,728.09
Male,Single,734.79
Male,Single,824.92
Female,Married,623.82
Male,Single,1633.21
Female,Married,619.71
Male,Single,1148.78
Female,Married,711.19
Female,Single,50
Male,Married,448.1
Male,Married,1334.07
Male,Single,757.27
Male,Married,1445.58
Female,Married,429.67
Male,Married,824.91
Male,Married,392.58
Female,Married,82.02
Male,Single,446.23
Female,Single,589.26
Male,Married,228.89
Female,Single,440.97
Female,Married,54.64
Male,Single,644.65
Female,Married,510.65
Male,Married,398.56
Female,Single,309.55
Male,Single,647.38
Female,Married,495.96
Male,Other,218.84
Male,Married,1650
Male,Married,647.56
Male,Single,860.85
Female,Married,1846.69
Female,Single,388.16
Female,Married,522.3
Female,Single,115.01
Male,Single,419.06
Male,Married,873.89
Male,Single,1165.45
Female,Married,1000.41
Male,Married,1506.09
Female,Single,441.4
Female,Single,1472.27
Female,Married,648.78
Male,Married,1326.53
Female,Married,1380.1
Male,Married,918.04
Female,Married,505.55
Female,Married,1307.49
Female,Single,322.19
Male,Married,1213.12
Male,Married,331.86
Male,Married,1489.9
Male,Married,816.59
Male,Single,50.02
Male,Married,510.8
Male,Married,1717.82
Female,Married,840.47
Female,Other,1813.3
Female,Married,539.28
Female,Married,579.87
Male,Single,3085.78
Male,Single,1239.08
Male,Single,273.27
Female,Married,403.85
Female,Married,406.98
Male,Married,381.5
Female,Single,482.19
Female,Married,1154.65
Female,Married,488.36
Male,Married,403.11
Female,Married,459.12
Male,Married,599.64
Female,Married,488
Male,Married,460.71
Male,Married,559.55
Female,Single,508.75
Female,Married,1103.48
Male,Married,1407.75
Female,Married,479.54
Female,Married,386.06
Female,Single,708.17
Female,Married,540.24
Female,Married,1283.47
Female,Married,539.13
Male,Single,1125.71
Female,Married,603.3
Female,Married,652.02
Male,Married,641.98
Male,Married,474.3
Male,Married,698.23
Male,Single,952.1
Male,Married,207.96
Female,Married,490.14
Female,Married,669.38
Male,Married,477.59
Female,Married,341.78
Female,Married,458.52
Female,Other,958.69
Male,Other,356.71
Female,Married,678.42
Male,Married,3082.02
Male,Married,902.29
Male,Married,722.63
Male,Other,841.79
Female,Single,423.28
Male,Married,670.83
Male,Married,618.47
Male,Married,578.57
Male,Single,311.22
Male,Married,240.82
Female,Married,1860.74
Male,Married,1131.49
Female,Married,1638.95
Male,Married,541.44
Male,Married,195.71
Female,Married,791.81
Male,Married,666.56
Male,Married,897.78
Female,Other,1121.89
Female,Married,404.84
Male,Married,401.8
Female,Married,860.52
Male,Married,747.55
Female,Married,1258.53
Male,Married,775.53
Female,Married,984.11
Male,Married,1934.36
Female,Single,622.16
Male,Single,1287.79
Female,Single,679.68
Male,Single,665.21
Male,Married,663.69
Female,Married,749.73
Female,Married,394.23
Female,Married,739.2
Female,Married,588.65
Female,Married,515.19
Female,Married,855.96
Female,Married,2146.18
Female,Married,740.44
Female,Married,50
Female,Married,721.2
Male,Single,940.26
Female,Married,909.62
Female,Married,156.88
Female,Married,584.01
Male,Single,535.7
Male,Married,589.61
Male,Single,441.61
Female,Single,1343.72
Female,Married,746.71
Male,Single,1016.34
Male,Married,961.76
Male,Married,917.44
Female,Single,1138.89
Male,Single,966.74
Male,Married,1671.84
Male,Married,476.54
Male,Single,626.6
Male,Married,685.02
Male,Married,641.16
Female,Married,548.81
Male,Married,138.34
Male,Other,52.36
Male,Single,100.01
Male,Married,363.69
Female,Other,339.95
Male,Married,529.62
Male,Married,988.15
Female,Married,1504.4
Male,Single,508.1
Male,Married,2298.16
Male,Married,263.97
Male,Married,1644.92
Male,Single,51.94
Male,Married,587.38
Female,Single,112.59
Female,Married,535.72
Female,Married,2334.47
Male,Married,2948.1
Female,Married,2015.81
Male,Other,740.71
Male,Single,906.42
Male,Married,842.19
Female,Married,2218.19
Male,Married,641.65
Female,Married,677.53
Male,Married,784.84
Male,Married,1034.58
Male,Other,2515.05
Male,Single,110.28
Female,Married,754.04
Male,Married,286.74
Male,Married,1275.49
Male,Single,210.09
Male,Single,89.9
Male,Married,791.09
Male,Married,615.71
Male,Married,188.38
Female,Married,301.97
Male,Married,1030.11
Male,Married,449.92
Female,Married,581.55
Male,Married,986.92
Female,Married,1761.71
Female,Single,1603.88
Male,Married,1110.44
Female,Married,447.27
Male,Single,743.18
Male,Single,1003.12
Male,Other,392.07
Female,Single,54.42
Female,Married,215.28
Male,Married,211.46
Male,Single,1096.53
Male,Married,794.16
Female,Married,1885.69
Male,Married,211.97
Female,Married,882.91
Male,Married,526.88
Male,Single,1231.59
Female,Single,1307.29
Male,Married,2961.5
Female,Married,751.72
Female,Single,1049.24
Female,Married,3762.07
Male,Married,591.25
Male,Married,1153.99
Male,Married,2415.05
Male,Married,1896.88
Male,Married,742.56
Male,Other,227.67
Male,Single,459.61
Female,Married,435.46
Male,Married,678.47
Male,Married,312.22
Female,Married,679.9
Male,Married,856.76
Female,Single,233.09
Female,Married,1189.85
Male,Married,1338.35
Male,Married,598.92
Male,Married,543.54
Male,Married,703.57
Female,Single,1140.29
Male,Married,712.87
Male,Married,500.45
Male,Married,521.57
Female,Married,485.71
Female,Married,545.72
Female,Married,480.48
Female,Single,336.35
Male,Married,592.2
Male,Single,50
Female,Married,863.17
Male,Married,432.53
Female,Single,793.59
Female,Married,497.14
Male,Single,245.22
Male,Married,512.73
Male,Married,742.64
Female,Single,422.25
Male,Married,459.53
Male,Married,827.21
Male,Married,533.73
Male,Married,947.3
Female,Married,605.23
Male,Married,694.16
Female,Married,364.39
Female,Single,713.23
Male,Married,958.93
Female,Married,628.15
Male,Married,1126.7
Male,Married,1691.41
Female,Married,373.25
Female,Single,932.79
Female,Married,738.87
Female,Married,889.68
Female,Married,1320.18
Female,Single,50
Male,Single,3363.13
Male,Single,1635.51
Male,Married,1543.51
Female,Married,50
Female,Married,2992.22
Female,Single,158.18
Male,Married,860.68
Male,Other,432.54
Female,Married,752.29
Male,Married,1550.29
Female,Married,719.46
Male,Single,608.93
Male,Married,233.05
Female,Married,480.89
Female,Single,482.72
Male,Single,542.82
Female,Single,90.35
Male,Married,1006.22
Male,Single,1065.41
Female,Married,1165.02
Female,Married,832
Female,Single,1059.51
Female,Single,672.87
Male,Married,7624.2
Male,Other,143.21
Male,Married,405.07
Male,Married,560.98
Male,Married,485.27
Female,Married,515.14
Female,Single,114.72
Male,Married,768.49
Male,Married,559.64
Male,Married,613.44
Female,Married,344.38
Male,Married,413.34
Male,Married,510.75
Male,Married,758.49
Female,Married,1104.65
Male,Single,1892.15
Male,Married,61.15
Male,Married,1935.05
Female,Married,530.67
Female,Single,360.92
Male,Married,1564.44
Female,Married,642.62
Male,Married,599.71
Male,Single,346.99
Female,Married,99.28
Male,Other,2863.31
Male,Married,62.39
Male,Single,2018.43
Female,Single,797.43
Female,Single,87.4
Male,Married,93.68
Male,Single,295.41
Male,Single,651.36
Female,Married,51.35
Male,Married,621.77
Female,Married,515.23
Male,Single,352.75
Female,Married,324.38
Male,Married,536.04
Female,Partnership,582.22
Male,Single,1209.9
Male,Other,604.83
Female,Married,660.41
Male,Married,534.28
Female,Single,50.1
Male,Married,61.27
Female,Married,1516.63
Male,Married,192.52
Male,Single,1232.63
Female,Married,2366.98
Male,Single,11470.87
Male,Married,488.16
Male,Married,820.13
Female,Married,50
Female,Married,1152.2
Male,Married,480.71
Male,Married,589.14
Male,Married,1058.57
Female,Single,835.91
Female,Married,54.39
Male,Married,571.67
Female,Married,181.61
Female,Married,581.51
Female,Married,165.04
Male,Married,355.41
Female,Married,340.29
Male,Married,355.22
Male,Single,1063.54
Male,Married,731.25
Male,Married,2693.52
Male,Married,503.02
Male,Married,167.85
Male,Married,477.44
Male,Other,515.85
Male,Single,208.37
Male,Married,417.42
Female,Married,468.23
Female,Married,367
Male,Married,202.39
Female,Single,483.28
Male,Married,706.76
Female,Other,171.16
Male,Married,281.97
Male,Married,617.93
Male,Married,475.18
Male,Married,741.23
Female,Married,163.91
Female,Married,476.55
Female,Married,1335.77
Female,Married,329.78
Male,Married,2098.42
Male,Other,1513.81
Male,Married,313.32
Female,Single,2349.36
Male,Married,446.14
Female,Married,629.66
Male,Other,520.5
Female,Married,712.47
Female,Married,753.62
Male,Married,844.27
Male,Married,1070.24
Male,Single,6552.92
Male,Single,2217.29
Female,Married,630.71
Male,Married,1022.99
Male,Married,690.13
Male,Married,1462
Male,Single,1082.37
Male,Single,1638.81
Female,Married,1783.8
Female,Married,2469.17
Male,Married,1540.45
Female,Married,939.98
Male,Married,694.56
Female,Single,50.01
Female,Married,75.53
Male,Married,1482.86
Female,Married,50
Female,Married,650.46
Male,Single,1032.58
Male,Single,436.33
Female,Married,570.7
Male,Single,1831
Female,Married,780.51
Male,Single,1880.09
Male,Married,2910.23
Female,Married,1408.48
Female,Married,691.45
Female,Married,319.47
Female,Married,264.19
